"MDS1","MDS2","MDS3","Sample_ID","site_sp","species"
0.06650937625384637,-0.03424647055810467,0.09342435994675984,"DS_site032_Rana zhenhaiensis","DS_site032_Rana zhenhaiensis","Rana_zhenhaiensis"
-0.02580147401651764,-0.1177153853758592,0.179833632818011,"DS_site032_Microhyla fissipes","DS_site032_Microhyla fissipes","Microhyla_fissipes"
0.04790458405929143,-0.13177846092593948,0.07325884560919581,"DS_site032_Bufo gargarizans","DS_site032_Bufo gargarizans","Bufo_gargarizans"
0.050406500839205996,-0.14446845744510192,0.09877310698854357,"DS_site032_Lithobates catesbeianus","DS_site032_Lithobates catesbeianus","Lithobates_catesbeianus"
0.048616775721046536,-0.13138435559026423,0.09488540461294445,"DS_site037_Rana zhenhaiensis","DS_site037_Rana zhenhaiensis","Rana_zhenhaiensis"
0.040396785502175854,-0.12697746176176805,0.10675686820830468,"DS_site037_Bufo gargarizans","DS_site037_Bufo gargarizans","Bufo_gargarizans"
0.027411242072830837,-0.1104824331772409,0.1357532587901724,"DS_site037_Fejervarya multistriata","DS_site037_Fejervarya multistriata","Fejervarya_multistriata"
0.0694958421610104,-0.11905686423901224,0.006571983348650156,"DS_site019_Fejervarya multistriata","DS_site019_Fejervarya multistriata","Fejervarya_multistriata"
0.0924439120332031,-0.11518037881973779,0.029762203752323555,"DS_site019_Bufo gargarizans","DS_site019_Bufo gargarizans","Bufo_gargarizans"
0.057188588495247564,-0.094664344051743,0.07763579061758143,"DS_site031_Fejervarya multistriata","DS_site031_Fejervarya multistriata","Fejervarya_multistriata"
0.06855752738375497,-0.10249402936700197,0.006821550542368171,"DS_site031_Bufo gargarizans","DS_site031_Bufo gargarizans","Bufo_gargarizans"
0.06665536182337942,-0.13209145286935392,0.09227890721640103,"DS_site031_Lithobates catesbeianus","DS_site031_Lithobates catesbeianus","Lithobates_catesbeianus"
0.10075999886269192,-0.08637814123705279,0.009382442433484748,"DS_site024_Microhyla fissipes","DS_site024_Microhyla fissipes","Microhyla_fissipes"
0.09352034143740721,-0.09934006814248916,0.011866830570368156,"DS_site024_Fejervarya multistriata","DS_site024_Fejervarya multistriata","Fejervarya_multistriata"
0.06319708062980019,-0.13686106092829065,0.10581163295187153,"DS_site024_Bufo gargarizans","DS_site024_Bufo gargarizans","Bufo_gargarizans"
0.041933079086309076,-0.054724535252246874,0.013688046752263176,"ZJJ_site165_Fejervarya multistriata","ZJJ_site165_Fejervarya multistriata","Fejervarya_multistriata"
0.046960787585868254,-0.07310094606304166,0.043905505517735914,"ZJJ_site165_Bufo gargarizans","ZJJ_site165_Bufo gargarizans","Bufo_gargarizans"
0.07070666805474285,-0.12446832058975536,0.03774436095250018,"ZJJ_site165_Hylarana latouchii","ZJJ_site165_Hylarana latouchii","Hylarana_latouchii"
0.09801337300468803,-0.00858580347731197,0.024790724065083137,"ZJJ_site165_Microhyla fissipes","ZJJ_site165_Microhyla fissipes","Microhyla_fissipes"
0.013998806520949942,-0.0930965510354148,-0.019723954634785875,"XS_site129_Fejervarya multistriata","XS_site129_Fejervarya multistriata","Fejervarya_multistriata"
0.06597395704408902,-0.14627875476521068,0.07633604682455805,"XS_site129_Bufo gargarizans","XS_site129_Bufo gargarizans","Bufo_gargarizans"
-0.07676418792618253,-0.05295442287904722,-0.18606836417376232,"XS_site130_Fejervarya multistriata","XS_site130_Fejervarya multistriata","Fejervarya_multistriata"
0.15001341392721584,-0.055016601304477684,-0.13738178280809338,"XS_site130_Microhyla fissipes","XS_site130_Microhyla fissipes","Microhyla_fissipes"
4.628437480519583e-4,-0.04588851858473234,0.12694813966431265,"ZSM_site151_Fejervarya multistriata","ZSM_site151_Fejervarya multistriata","Fejervarya_multistriata"
-0.03370115436146048,-0.015120144496711736,0.14658084961926043,"ZSM_site151_Bufo gargarizans","ZSM_site151_Bufo gargarizans","Bufo_gargarizans"
-0.021201658814040878,0.038108814957658894,0.043361040627773746,"ZSM_site151_Microhyla fissipes","ZSM_site151_Microhyla fissipes","Microhyla_fissipes"
0.11591229098262427,0.14926605859739947,0.0359482385195,"ZSM_site144_Polypedates megacephalus","ZSM_site144_Polypedates megacephalus","Polypedates_megacephalus"
0.0773317944948961,-0.08300283828320187,0.09592628098222149,"ZSM_site144_Fejervarya multistriata","ZSM_site144_Fejervarya multistriata","Fejervarya_multistriata"
0.09952118669894133,0.13294086641628547,0.032893652544400874,"ZSM_site144_Lithobates catesbeianus","ZSM_site144_Lithobates catesbeianus","Lithobates_catesbeianus"
0.12012508413939896,0.1459445139000844,0.05387801909718261,"ZSM_site144_Rana zhenhaiensis","ZSM_site144_Rana zhenhaiensis","Rana_zhenhaiensis"
0.08846736252825341,0.13592755742811755,0.04242266343018793,"ZSM_site149_Fejervarya multistriata","ZSM_site149_Fejervarya multistriata","Fejervarya_multistriata"
0.10197302907345081,0.1499781190965077,0.06155306086539806,"ZSM_site149_Polypedates megacephalus","ZSM_site149_Polypedates megacephalus","Polypedates_megacephalus"
